subset,method,n,false_pre_activation_rate,suppression_rate,mean_route_deviation_delay,mean_open_delay,mean_post_open_delay_if_suppressed,median_post_open_delay_if_suppressed,post_open_activation_le_2_steps_if_suppressed,success,stuck,soft_cvar,violation_cvar,hard_hazard_length_m,stale_exposure,reaction_delay_heading
all,blackbox_cvar,100,0.92,0.07999999999999996,1.19,10.0,4.0,2.0,0.625,0.2,0.81,0.5026240793782177,0.5026240793782177,0.0,0.5947396353104636,2.27
all,dwa_semantic,100,0.95,0.050000000000000044,1.96,10.0,4.6,4.0,0.0,0.48,0.59,0.6713541048560877,0.6949817109703764,0.061568,0.6880714929381162,2.26
all,fixed_coeff_stage2,100,0.99,0.010000000000000009,0.28,10.0,1.0,1.0,1.0,0.03,0.98,0.46332693945965725,0.46332693945965725,0.0,0.4094291472640634,1.71
all,route_aware_stage2,100,0.38,0.62,13.04,10.0,10.838709677419354,2.0,0.6451612903225806,0.61,0.48,0.8268498216064222,0.8400858992965251,0.059497,0.7825709263028204,2.85
all,stage2_expected_cost,100,0.37,0.63,13.68,10.0,11.079365079365079,2.0,0.6507936507936508,0.62,0.46,0.8469333459539828,0.854749622594058,0.040355,0.8475578646269143,3.11
R1_only,blackbox_cvar,55,0.9454545454545454,0.054545454545454564,0.7272727272727273,10.0,1.3333333333333333,2.0,1.0,0.2727272727272727,0.7454545454545455,0.504404223358228,0.504404223358228,0.0,0.7331349152626639,2.7454545454545456
R1_only,dwa_semantic,55,0.9454545454545454,0.054545454545454564,1.5454545454545454,10.0,3.3333333333333335,3.0,0.0,0.5636363636363636,0.5272727272727272,0.6822102348864181,0.6822102348864181,0.0,0.8266845877278662,2.7818181818181817
R1_only,fixed_coeff_stage2,55,1.0,0.0,0.01818181818181818,10.0,nan,nan,nan,0.01818181818181818,1.0,0.43778836878286587,0.43778836878286587,0.0,0.42596903271331027,1.6363636363636365
R1_only,route_aware_stage2,55,0.5454545454545454,0.4545454545454546,8.781818181818181,10.0,9.16,2.0,0.72,0.6363636363636364,0.4909090909090909,0.8089777311115641,0.8168157885912422,0.03480363636363636,0.7463208988832344,2.5090909090909093
R1_only,stage2_expected_cost,55,0.5454545454545454,0.4545454545454546,8.363636363636363,10.0,7.28,2.0,0.6,0.6545454545454545,0.45454545454545453,0.841789127051786,0.8483010031862045,0.025712727272727273,0.7612509284247051,2.5636363636363635
